,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
0,Пионер,developer,https://www.cian.ru/sale/flat/295977375/,Москва,sale,flat,6,11,2,55.8,-1,0,45080596,Даниловский,,,Павелецкая,Опус ЖК
1,,,https://www.cian.ru/sale/flat/285924533/,Москва,sale,flat,4,9,2,87.9,-1,0,158220000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
2,Sminex,developer,https://www.cian.ru/sale/flat/297972141/,Москва,sale,flat,2,5,2,88.5,-1,0,198460000,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
3,Станислав Горбачевский,realtor,https://www.cian.ru/sale/flat/283485284/,Москва,sale,flat,3,19,-1,234.6,-1,0,125000000,Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо
4,5 ДОНСКОЙ,developer,https://www.cian.ru/sale/flat/299380394/,Москва,sale,flat,21,75,2,64.07,-1,0,30790760,Донской,5-й Донской проезд,вл21к6,Площадь Гагарина,The Five
5,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/297733877/,Москва,sale,flat,80,85,4,294.6,-1,0,495503707,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
6,VESPER,developer,https://www.cian.ru/sale/flat/289484533/,Москва,sale,flat,8,9,2,62.3,-1,0,85974000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
7,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/295370167/,Москва,sale,flat,2,6,3,110.5,-1,0,99000000,Пресненский,Малая Бронная ,32,Пушкинская,
8,MR Group,developer,https://www.cian.ru/sale/flat/300743108/,Москва,sale,flat,4,27,2,58.0,-1,0,30272464,Даниловский,Дубининская ,59к6,Серпуховская,Павелецкая Сити
9,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/285823542/,Москва,sale,flat,9,21,4,200.0,-1,0,60000000,Можайский,Можайское шоссе,2,Кунцевская,
10,Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,-1,0,156750000,Якиманка,,,Боровицкая,Лаврушинский ЖК
11,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/291778742/,Москва,sale,flat,37,37,-1,135.3,-1,0,125000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
12,VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,-1,-1,-1,2.0,-1,0,103787040,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
13,,,https://www.cian.ru/sale/flat/285924764/,Москва,sale,flat,4,9,3,108.8,-1,0,195840000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
14,Sminex,developer,https://www.cian.ru/sale/flat/299801831/,Москва,sale,flat,2,23,2,56.0,-1,0,50550000,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
15,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/298866325/,Москва,sale,flat,10,10,-1,239.9,-1,0,215900000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
16,Sminex,developer,https://www.cian.ru/sale/flat/294328854/,Москва,sale,flat,3,6,2,120.3,-1,0,220620000,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
17,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Москва,sale,flat,6,6,4,324.5,-1,0,250000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
18,ANT Development,developer,https://www.cian.ru/sale/flat/283856125/,Москва,sale,flat,22,34,2,50.6,-1,0,53851259,Дорогомилово,Поклонная ,9,Кутузовская,Поклонная 9
19,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300214839/,Москва,sale,flat,8,24,3,65.0,-1,0,49900000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
20,ID 39404589,developer,https://www.cian.ru/sale/flat/300762128/,Москва,sale,flat,15,34,2,39.6,-1,0,17281440,Нагорный,,2,Нагорная,Твелв ЖК
21,ID 413522,realtor,https://www.cian.ru/sale/flat/300509461/,Москва,sale,flat,8,21,3,65.0,-1,0,49900000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
22,Regions Development,developer,https://www.cian.ru/sale/flat/300783117/,Москва,sale,flat,2,24,2,69.7,-1,0,28375022,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
23,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539749/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
24,СЗ Варшава,representative_developer,https://www.cian.ru/sale/flat/300113456/,Москва,sale,flat,2,9,2,75.1,-1,0,75100000,Якиманка,Ленинский проспект,2,Октябрьская,Клубный дом CULT
25,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539770/,Москва,sale,flat,3,5,-1,170.0,-1,0,75000000,Тверской, Большая Дмитровка,20С2,Пушкинская,
26,MR Group,developer,https://www.cian.ru/sale/flat/299928834/,Москва,sale,flat,4,17,2,76.65,-1,0,85244381,Мещанский,м. Цветной бульвар,,Цветной бульвар,Клубный дом Forum
27,SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/297805133/,Москва,sale,flat,7,12,2,78.0,-1,0,104900000,Хамовники, Ефремова,10с1к4/2,Фрунзенская,Садовые кварталы
28,ID 39404589,developer,https://www.cian.ru/sale/flat/300762107/,Москва,sale,flat,10,27,2,38.7,-1,0,18707580,Даниловский,,,Серпуховская,Era
29,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/295016965/,Москва,sale,flat,2,28,1,32.8,-1,0,16300000,Нагатино-Садовники,Варшавское шоссе,37Ак3,Нагатинская,Rotterdam
30,Hutton Development,developer,https://www.cian.ru/sale/flat/299066778/,Москва,sale,flat,4,17,2,87.6,-1,0,50808000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
31,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/295901911/,Москва,sale,flat,14,29,2,54.7,-1,0,26500000,Нагатино-Садовники,Варшавское шоссе,37Ак3,Нагатинская,Rotterdam
32,Пионер,developer,https://www.cian.ru/sale/flat/298380135/,Москва,sale,flat,6,18,2,46.4,-1,0,31647602,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
33,ID 413522,realtor,https://www.cian.ru/sale/flat/300509437/,Москва,sale,flat,7,12,2,78.0,-1,0,104750000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
34,Sminex,developer,https://www.cian.ru/sale/flat/300266348/,Москва,sale,flat,2,25,2,76.3,-1,0,74540000,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
35,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006012/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
36,ID 39404589,developer,https://www.cian.ru/sale/flat/300712642/,Москва,sale,flat,23,42,2,41.6,-1,0,25380160,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
37,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300689383/,Москва,sale,flat,3,5,-1,170.0,-1,0,75000000,Тверской, Большая Дмитровка,20С2,Пушкинская,
38,Absolute Premium,developer,https://www.cian.ru/sale/flat/294518637/,Москва,sale,flat,4,17,2,49.8,-1,0,52006000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
39,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/291962439/,Москва,sale,flat,11,12,4,110.5,-1,0,78500000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
40,Компания Пионер,developer,https://www.cian.ru/sale/flat/296738060/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,24675168,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
41,Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/300776785/,Москва,sale,flat,33,44,2,62.0,-1,0,42500000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
42,Ташир,developer,https://www.cian.ru/sale/flat/264099924/,Москва,sale,flat,3,32,2,77.2,-1,0,39333400,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
43,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299644232/,Москва,sale,flat,2,21,3,115.0,-1,0,103000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
44,COLDY,developer,https://www.cian.ru/sale/flat/297997312/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,303725598,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
45,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/281500564/,Москва,sale,flat,4,6,-1,277.0,-1,0,119000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
46,Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516517/,Москва,sale,flat,2,11,2,47.0,-1,0,24524600,,,В14 кв-л,Павшино,Сберсити ЖК
